,text,neg,neu,pos,compound,len
0,today 20h00 cataandramuno minist health ec publicosec present 60 minut health program show protect health presenc respiratori diseas covid 19 protect health import,,,,,
1,coronavirusoutbreak coronaviru china wuhan coronaviruswuhan coronarviru corona covid19,,,,,
2,health scare like coronavirusoutbreak need abl trust author institut report like one buzzfeednew encourag read news time coronaviru,,,,,
3,twitter pleas updat report includ fals statement inform covid19 covid19usa caronavirusoutbreak coronaviru coronavirusfact covid2019 coronaviruscanada coronavirusoutbreak covid19canada,,,,,
4,germ guardian pluggabl air purifi amp sanit elimin germ mold uv c light ad coronaviru corona viru coronavirusoutbreak covid2019 wuhanviru coronavirususa pandem sarscov2 china wuhan flu coronaoutbreak covid19,,,,,
5,simpl math prove chines govern lie world covid19 coronaviru coronavirusoutbreak,,,,,
6,incompet irrespons desdelamoncloa face crisi coronaviru spain incred,,,,,
7,coronavirusoutbreak 7 381 1 126 1 040 673 531 332 273 265 203 200 169 104 73 55 37 36 32 30 23 21 16 14 11 10 6 5 5 5 4 2 2 2 1 1 1 1 1 1 1 1 1 1,,,,,
8,class suspend follow citi town school today 09 march 2020 amid covid 19 fear ph navota citi marikina citi 11 march 2020 san juan citi cainta rizal taytay rizal covid19 coronavirusoutbreak blackpearlconsultancyph walangpasok,,,,,
9,manila tytana colleg triniti univers asia new societi crame elementari school high school assumpt colleg class tuesday march 10 covid19 coronavirusoutbreak blackpearlconsultancyph,,,,,
10,come attent today folk twitter lean left polit ignor f ck fact coronavirusoutbreak sad live ignor stoke fear dumb turnip subject,,,,,
11,jameshamblin leelada suck get scare cancel nba colleg game whatev coronaviru coronavirusoutbreak,,,,,
12,updat first case coronaviru republ ireland 21 bulgaria 4 maldiv 4 bangladesh 3 moldova 1 coronavirusoutbreak covid19 full report jhusystem,,,,,
13,covid19 coronaviru coronavirusoutbreak opsanaanimam themoreyouknow,,,,,
14,countri affect coronaviru coronavirusoutbreak covid19 1 china 80699 2 itali 7375 3 south korea 7314 4 iran 6566 5 franc 1126,,,,,
15,realdonaldtrump pathet everyon know coronavirusoutbreak,,,,,
16,caslernoel realdonaldtrump think class action suit sue decis coronaviru coronavirusoutbreak suetrump bloodonhishand,,,,,
17,feel better know trump parti mar lago rather pay attent coronavirusoutbreak feel wors bcuz put penc charg health care crisi guilfoyl coronaviruschalleng coronavirusfrontlin,,,,,
18,qatar ban arriv ph 13 countri coronaviru fear covid2019 coronaviru coronavirusoutbreak blackpearlconsultnacyph,,,,,
19,realdonaldtrump along corrupt impotu ever also laziest coronavirusoutbreak,,,,,
20,bradpark maddow realdonaldtrump kremlinrussia e russian coronavirusoutbreak like chernobyl know whole countri entomb,,,,,
21,ddale8 mayb true politician liar view irrespect democrat republican coronaviru coronavirusoutbreak americafirst idiot rascal starwar biden2020 xyra dtr colrycarescu rocpdnyop fbirichmond fbisananto,,,,,
22,realdonaldtrump tf go covid19 coronavirusoutbreak,,,,,
23,book bookreview kindleunlimit ebook coronaviru covid2019 covid19 coronavirusitalia coronavirususa coronavirusespana coronavirusoutbreak bookboost booklov biolog 9mar fit coronavirusfr break breakingnew sarscov2 fit,,,,,
24,coronaviru covid 19 real danger two scientist take stock coronaviru sar cov 2 busi,,,,,
25,someon happen see graph pass expect prognosi specif aim netherland coronaviru number infect remov twitter covid 19 coronavirusnl coronavirusnetherland,,,,,
26,break coronavirusoutbreak hit america suddenli everyon buy toilet paper peopl realiz diarrhea symptom peopl stupid tp must end world coronaviru,,,,,
27,slack emerg realdonaldtrump notic votebluenomatterwho coronavirusoutbreak,,,,,
28,accord follow countri territori report first case covid19 past 24 hour bulgaria faro island french guiana maldiv malta martiniqu republ moldova albania coronaviru coronavirusoutbreak,,,,,
29,seanhann realdonaldtrump tf go covid19 coronavirusoutbreak,,,,,
30,glad see compani offer sick time coronavirusoutbreak ppl worri bill need sent home go work,,,,,
31,10 gram weed week sign covid 19,,,,,
32,accur translat interpret thank one follow covid coronaviru italia coronavirusoutbreak,,,,,
33,coronaviru live updat stock market plung global recess fear coronaviru coronavirusoutbreak stock stockmarket,,,,,
34,kazakhstan civilis countri wash hand year ritual day shurik coronavirusoutbreak,,,,,
35,thing need coronavirusoutbreak coronaviru oilpric stock recess,,,,,
36,26 covid 19 china chen wei,,,,,
37,fox entertain thing disguis news flirt wreckless crimin behavior peopl believ said network tell truth put live risk best perhap caus death coronavirusoutbreak,,,,,
38,updat call drop chasetravel coronavirusoutbreak,,,,,
39,coronavirusoutbreak clearli longer china stori rank higher 4th report total covid19 case per capita iran itali korea vatican citi pandem covid 19 coronavirusupd,,,,,
40,truefactsst especi trump tri cell prison trumpviru trumpviruscoverup coronavirusoutbreak,,,,,
41,oilpric coronavirusoutbreak coronaviru,,,,,
